onset	duration	as-Music
25.5	0.975	0.00004366814755485393
25.6	0.975	0.00000017092288828735036
25.7	0.975	0.0000020913259959343122
25.8	0.975	0.00002368413333897479
25.9	0.975	0.000000357988767518691
26.0	0.975	0.00004623833592631854
26.1	0.975	0.00001611738662177231
26.2	0.975	0.000008764414815232158
26.3	0.975	0.000012627895557670854
26.4	0.975	0.000005927517577219987
26.5	0.975	0.000006425867468351498
26.6	0.975	0.000036596098652807996
26.7	0.975	0.0000026942871045321226
26.8	0.975	0.00010739686695160344
26.9	0.975	0.000002574764266682905
27.0	0.975	0.0000011090617135778302
27.1	0.975	0.0000028347531042527407
27.2	0.975	0.0000046729069254070055
27.3	0.975	0.0000014065731193113606
27.4	0.975	0.0000006105741476858384
27.5	0.975	0.0000001730742837935395
27.6	0.975	0.000000004512168860770771
27.7	0.975	0.000000019110073523620486
27.8	0.975	0.0000000859645297168754
27.9	0.975	0.00000004147920762420654
28.0	0.975	0.0000004812544034393795
28.1	0.975	0.00000007573042637432081
28.2	0.975	0.00000001108121860937672
28.3	0.975	0.00000009774782228078038
28.4	0.975	0.0000190800528798718
28.5	0.975	0.0000007845295613151393
28.6	0.975	0.00001960602639883291
28.7	0.975	0.00006283746188273653
28.8	0.975	0.000021200146875344217
28.9	0.975	0.000003796651753873448
29.0	0.975	0.000028625730919884518
29.1	0.975	0.000024966755518107675
29.2	0.975	0.00011703435302479193
29.3	0.975	0.00004911241921945475
29.4	0.975	0.00032535888021811843
29.5	0.975	0.00009150725963991135
29.6	0.975	0.00009736437641549855
29.7	0.975	0.00002995038630615454
29.8	0.975	0.0000036484482279774966
29.9	0.975	0.00000024595200898147596
30.0	0.975	0.00000037355275139816513
30.1	0.975	0.00000008106052717948842
30.2	0.975	0.00000007126546819335999
30.3	0.975	0.0000019116780549666146
30.4	0.975	0.0000000014957605154464204
30.5	0.975	0.00000017829191278906364
30.6	0.975	0.00000005757663501526622
30.7	0.975	0.0000000698327013992639
30.8	0.975	0.000006025755737937288
30.9	0.975	0.00000002459620418449049
31.0	0.975	0.0000002887374250803987
31.1	0.975	0.00013837357982993126
31.2	0.975	0.0002706096856854856
31.3	0.975	0.00020598049741238356
31.4	0.975	0.0005678204470314085
31.5	0.975	0.0008098890539258718
31.6	0.975	0.00024279726494569331
31.7	0.975	0.000007041254775685957
31.8	0.975	0.00004298788553569466
31.9	0.975	0.000009488929208600894
32.0	0.975	0.001140825916081667
32.1	0.975	0.00021716434275731444
32.2	0.975	0.000011215485756110866
32.3	0.975	0.00026154666556976736
32.4	0.975	0.00003344147262396291
32.5	0.975	0.0000021244538856990403
32.6	0.975	0.000003644539447122952
32.7	0.975	0.0000008052884936660121
32.8	0.975	0.00000022305603408767638
32.9	0.975	0.0000008214651074922585
33.0	0.975	0.00000010143848783172871
33.1	0.975	0.0000003730600610651891
33.2	0.975	0.0000007635786687387736
33.3	0.975	0.000000006722188583552224
33.4	0.975	0.000000001411040173593392
33.5	0.975	0.00000002681840527429813
33.6	0.975	0.00004216534580336884
33.7	0.975	0.000011337597243255004
33.8	0.975	0.00000032294403240484826
33.9	0.975	0.000007797967555234209
34.0	0.975	0.0000013568238728112192
34.1	0.975	0.0000000008374037019365232
34.2	0.975	0.000000006642669525547262
34.3	0.975	0.0000008918092930798593
34.4	0.975	0.0000000008525659622726778
34.5	0.975	0.000002619109636725625
34.6	0.975	0.0001157625883934088
34.7	0.975	0.0000076041633292334154
34.8	0.975	0.00000023269751636689762
34.9	0.975	0.000000035683115129359066
35.0	0.975	0.000000048292697840679466
35.1	0.975	0.00004305036782170646
35.2	0.975	0.00006324692367343232
35.3	0.975	0.00009602867066860199
35.4	0.975	0.000037219309888314456
35.5	0.975	0.000029327447919058613
35.6	0.975	0.00010013960854848847
35.7	0.975	0.000030391747714020312
35.8	0.975	0.000012091760254406836
35.9	0.975	0.000011728058780136053
36.0	0.975	0.0000048755596253613476
36.1	0.975	0.000015671799701522104
36.2	0.975	0.000021351710529415868
36.3	0.975	0.000000618971455423889
36.4	0.975	0.0000013732693560086773
36.5	0.975	0.00003393641600268893
36.6	0.975	0.0000004171155012500094
36.7	0.975	0.00000904936132428702
36.8	0.975	0.000000951629147039057
36.9	0.975	0.000014931174519006163
37.0	0.975	0.000007099329195625614
37.1	0.975	0.000040167673432733864
37.2	0.975	0.000000968039557847078
37.3	0.975	0.00002912098898377735
37.4	0.975	0.00018527114298194647
37.5	0.975	0.00005769389099441469
37.6	0.975	0.000060258455050643533
37.7	0.975	0.000037618898204527795
37.8	0.975	0.00019503729708958417
37.9	0.975	0.00006175033195177093
38.0	0.975	0.000008994863492262084
38.1	0.975	0.0000002778185717033921
38.2	0.975	0.0000002880023259876907
38.3	0.975	0.000009403995136381127
38.4	0.975	0.000000018791491029901408
38.5	0.975	0.0000004859517162003613
38.6	0.975	0.000053821619076188654
38.7	0.975	0.0000015103369150892831
38.8	0.975	0.000002622293777676532
38.9	0.975	0.00011104129953309894
39.0	0.975	0.00003861825098283589
39.1	0.975	0.00032098882365971804
39.2	0.975	0.00015517949941568077
39.3	0.975	0.0004340092418715358
39.4	0.975	0.00020464463159441948
39.5	0.975	0.000016833839254104532
39.6	0.975	0.0005590119399130344
39.7	0.975	0.00019758439157158136
39.8	0.975	0.0000784319854574278
39.9	0.975	0.0002752909203991294
40.0	0.975	0.0017686235951259732
40.1	0.975	0.000016847779988893308
40.2	0.975	0.00017684172780718654
40.3	0.975	0.0000037107975003891625
40.4	0.975	0.00001333811269432772
40.5	0.975	0.00010665287845768034
40.6	0.975	0.00001849061663961038
40.7	0.975	0.00038326511275954545
40.8	0.975	0.00000028381455763337726
40.9	0.975	0.000033395834179827943
41.0	0.975	0.00000268414146376017
41.1	0.975	0.0000000031865432514877057
41.2	0.975	0.00000012243438618497748
41.3	0.975	0.000018452497897669673
41.4	0.975	0.0000022650954178971006
41.5	0.975	0.000011988204278168269
41.6	0.975	0.0008577830158174038
41.7	0.975	0.0005738873151130974
41.8	0.975	0.0000010481456911293208
41.900000000000006	0.975	0.0000018420389551465632
42.0	0.975	0.00000011674929822902413
42.1	0.975	0.0000009472034889768111
42.2	0.975	0.000000009606563544650726
42.3	0.975	0.0000007557313779216202
42.400000000000006	0.975	0.000000020231627928524176
42.5	0.975	0.0000005111794507683953
42.6	0.975	0.00004774953777086921
42.7	0.975	0.0000000023794153314327104
42.8	0.975	0.0000511498365085572
42.900000000000006	0.975	0.000019311974028823897
43.0	0.975	0.000011456742868176661
43.1	0.975	0.000005303958459990099
43.2	0.975	0.00041146212606690824
43.3	0.975	0.0004895558231510222
43.400000000000006	0.975	0.000001049588036039495
43.5	0.975	0.000011942058335989714
43.6	0.975	0.00040685845306143165
43.7	0.975	0.00000039575326127305743
43.8	0.975	0.00006402855069609359
43.900000000000006	0.975	0.0009612343856133521
44.0	0.975	0.001157022314146161
44.1	0.975	0.0003895114059560001
44.2	0.975	0.0004234459192957729
44.3	0.975	0.00007314496906474233
44.400000000000006	0.975	0.00007409849786199629
44.5	0.975	0.00010127440327778459
44.6	0.975	0.00004529045691015199
44.7	0.975	0.0000018768513427858124
44.8	0.975	0.0000238340853684349
44.900000000000006	0.975	0.00000023486279587814352
45.0	0.975	0.0000009103096658691356
45.1	0.975	0.0000009374993510391505
45.2	0.975	0.00000001844870922695918
45.3	0.975	0.000000002287235956188738
45.400000000000006	0.975	0.0000000031810414302668732
45.5	0.975	0.000015029650057840627
45.6	0.975	0.000008848355719237588
45.7	0.975	0.000042549811041681096
45.8	0.975	0.0001366034703096375
45.900000000000006	0.975	0.00004074210301041603
46.0	0.975	0.000008192469977075234
